days,sample number,design,predated,location,date,temperature,slug,weather
8,455,3,1,2,18/02/2024,11,0,1
8,456,3,1,2,18/02/2024,11,0,1
8,457,3,1,2,18/02/2024,11,0,1
8,458,3,0,2,18/02/2024,11,0,1
8,459,3,0,2,18/02/2024,11,0,1
8,460,3,0,2,18/02/2024,11,0,1
8,461,3,0,2,18/02/2024,11,0,1
8,462,3,0,2,18/02/2024,11,0,1
8,463,3,0,2,18/02/2024,11,0,1
8,464,3,0,2,18/02/2024,11,0,1
8,465,3,0,2,18/02/2024,11,0,1
8,466,3,0,2,18/02/2024,11,0,1
8,467,3,0,2,18/02/2024,11,0,1
8,468,3,0,2,18/02/2024,11,0,1
8,469,3,0,2,18/02/2024,11,0,1
8,470,3,0,2,18/02/2024,11,0,1
8,471,3,0,2,18/02/2024,11,0,1
8,472,3,0,2,18/02/2024,11,0,1
8,473,3,0,2,18/02/2024,11,0,1
8,474,3,0,2,18/02/2024,11,0,1
8,475,3,0,2,18/02/2024,11,0,1
8,476,3,0,2,18/02/2024,11,0,1
8,477,3,0,2,18/02/2024,11,0,1
8,478,3,0,2,18/02/2024,11,0,1
10,481,1,1,1,18/02/2024,11,0,1
10,482,1,1,1,18/02/2024,11,0,1
10,483,1,1,1,18/02/2024,11,0,1
10,484,1,1,1,18/02/2024,11,0,1
10,485,1,1,1,18/02/2024,11,0,1
10,486,1,1,1,18/02/2024,11,0,1
10,487,1,1,1,18/02/2024,11,0,1
10,488,1,1,1,18/02/2024,11,0,1
10,489,1,1,1,18/02/2024,11,0,1
10,490,1,1,1,18/02/2024,11,0,1
10,491,1,1,1,18/02/2024,11,0,1
10,492,1,1,1,18/02/2024,11,0,1
10,493,1,1,1,18/02/2024,11,0,1
10,494,1,1,1,18/02/2024,11,0,1
10,495,1,1,1,18/02/2024,11,0,1
10,496,1,1,1,18/02/2024,11,0,1
10,497,1,1,1,18/02/2024,11,0,1
10,498,1,1,1,18/02/2024,11,0,1
10,499,1,1,1,18/02/2024,11,0,1
10,500,1,1,1,18/02/2024,11,0,1
10,501,1,1,1,18/02/2024,11,0,1
10,502,1,1,1,18/02/2024,11,0,1
10,503,1,1,1,18/02/2024,11,0,1
10,504,1,1,1,18/02/2024,11,0,1
10,505,1,1,1,18/02/2024,11,0,1
10,506,1,1,1,18/02/2024,11,0,1
10,507,1,1,1,18/02/2024,11,0,1
10,508,1,1,1,18/02/2024,11,0,1
10,509,1,1,1,18/02/2024,11,0,1
10,510,1,1,1,18/02/2024,11,0,1
10,511,1,1,1,18/02/2024,11,0,1
10,512,1,1,1,18/02/2024,11,0,1
10,513,1,1,1,18/02/2024,11,0,1
10,514,1,1,1,18/02/2024,11,0,1
10,515,1,0,1,18/02/2024,11,0,1
10,516,1,0,1,18/02/2024,11,0,1
10,517,1,0,1,18/02/2024,11,0,1
10,518,1,0,1,18/02/2024,11,0,1
10,519,1,0,1,18/02/2024,11,0,1
10,521,2,1,1,18/02/2024,11,0,1
10,522,2,1,1,18/02/2024,11,0,1
10,523,2,1,1,18/02/2024,11,0,1
10,524,2,1,1,18/02/2024,11,0,1
10,525,2,1,1,18/02/2024,11,0,1
10,526,2,1,1,18/02/2024,11,0,1
10,527,2,1,1,18/02/2024,11,0,1
10,528,2,1,1,18/02/2024,11,0,1
10,529,2,1,1,18/02/2024,11,0,1
10,530,2,1,1,18/02/2024,11,0,1
10,531,2,1,1,18/02/2024,11,0,1
10,532,2,1,1,18/02/2024,11,0,1
10,533,2,1,1,18/02/2024,11,0,1
10,534,2,1,1,18/02/2024,11,0,1
10,535,2,1,1,18/02/2024,11,0,1
10,536,2,1,1,18/02/2024,11,0,1
10,537,2,1,1,18/02/2024,11,0,1
10,538,2,1,1,18/02/2024,11,0,1
10,539,2,0,1,18/02/2024,11,0,1
10,540,2,0,1,18/02/2024,11,0,1
10,541,2,0,1,18/02/2024,11,0,1
10,542,2,0,1,18/02/2024,11,0,1
10,543,2,0,1,18/02/2024,11,0,1
10,544,2,0,1,18/02/2024,11,0,1
10,545,2,0,1,18/02/2024,11,0,1
10,546,2,0,1,18/02/2024,11,0,1
10,547,2,0,1,18/02/2024,11,0,1
10,548,2,0,1,18/02/2024,11,0,1
10,549,2,0,1,18/02/2024,11,0,1
10,550,2,0,1,18/02/2024,11,0,1
10,551,2,0,1,18/02/2024,11,0,1
10,552,2,0,1,18/02/2024,11,0,1
10,553,2,0,1,18/02/2024,11,0,1
10,554,2,0,1,18/02/2024,11,0,1
10,555,2,0,1,18/02/2024,11,0,1
10,556,2,0,1,18/02/2024,11,0,1
10,557,2,0,1,18/02/2024,11,0,1
10,558,2,0,1,18/02/2024,11,0,1
10,559,2,0,1,18/02/2024,11,0,1
10,561,3,1,1,18/02/2024,11,0,1
10,562,3,1,1,18/02/2024,11,0,1
10,563,3,1,1,18/02/2024,11,0,1
10,564,3,1,1,18/02/2024,11,0,1
10,565,3,1,1,18/02/2024,11,0,1
10,566,3,1,1,18/02/2024,11,0,1
10,567,3,1,1,18/02/2024,11,0,1
10,568,3,1,1,18/02/2024,11,0,1
10,569,3,1,1,18/02/2024,11,0,1
10,570,3,1,1,18/02/2024,11,0,1
10,571,3,1,1,18/02/2024,11,0,1
10,572,3,1,1,18/02/2024,11,0,1
10,573,3,1,1,18/02/2024,11,0,1
10,574,3,1,1,18/02/2024,11,0,1
10,575,3,1,1,18/02/2024,11,0,1
10,576,3,1,1,18/02/2024,11,0,1
10,577,3,1,1,18/02/2024,11,0,1
10,578,3,1,1,18/02/2024,11,0,1
10,579,3,0,1,18/02/2024,11,0,1
10,580,3,0,1,18/02/2024,11,0,1
10,581,3,0,1,18/02/2024,11,0,1
10,582,3,0,1,18/02/2024,11,0,1
10,583,3,0,1,18/02/2024,11,0,1
10,584,3,0,1,18/02/2024,11,0,1
10,585,3,0,1,18/02/2024,11,0,1
10,586,3,0,1,18/02/2024,11,0,1
10,587,3,0,1,18/02/2024,11,0,1
10,588,3,0,1,18/02/2024,11,0,1
10,589,3,0,1,18/02/2024,11,0,1
10,590,3,0,1,18/02/2024,11,0,1
10,591,3,0,1,18/02/2024,11,0,1
10,592,3,0,1,18/02/2024,11,0,1
10,593,3,0,1,18/02/2024,11,0,1
10,594,3,0,1,18/02/2024,11,0,1
10,595,3,0,1,18/02/2024,11,0,1
10,596,3,0,1,18/02/2024,11,0,1
10,597,3,0,1,18/02/2024,11,0,1
10,598,3,0,1,18/02/2024,11,0,1
10,599,3,0,1,18/02/2024,11,0,1
10,600,3,0,1,18/02/2024,11,0,1
12,601,1,1,2,23/02/2024,11,0,1
12,602,1,1,2,23/02/2024,11,0,1
12,603,1,1,2,23/02/2024,11,0,1
12,604,1,1,2,23/02/2024,11,0,1
12,605,1,1,2,23/02/2024,11,0,1
12,606,1,1,2,23/02/2024,11,0,1
12,607,1,1,2,23/02/2024,11,0,1
12,608,1,1,2,23/02/2024,11,0,1
12,609,1,1,2,23/02/2024,11,0,1
12,610,1,1,2,23/02/2024,11,0,1
12,611,1,1,2,23/02/2024,11,0,1
12,612,1,1,2,23/02/2024,11,0,1
12,613,1,1,2,23/02/2024,11,0,1
12,614,1,1,2,23/02/2024,11,0,1
12,615,1,1,2,23/02/2024,11,0,1
12,616,1,1,2,23/02/2024,11,0,1
12,617,1,1,2,23/02/2024,11,0,1
12,618,1,1,2,23/02/2024,11,0,1
12,619,1,1,2,23/02/2024,11,0,1
12,620,1,1,2,23/02/2024,11,0,1
